Epoch,Train_Loss,Train_Angle_Err,Val_Loss,Val_Angle_Err,Acc_15deg,LR
1,1.0073626550045258,90.5213579685796,1.0025691896194138,90.16681747531614,1.8280016618196928,0.0005
2,1.0012765693426826,90.05756244096807,1.009911734160418,90.63432957990366,1.6618196925633568,0.0005
3,0.9974449187529547,89.83370175458704,1.0094044542332432,90.61316754761503,1.5579559617781469,0.0005
4,0.9964946001755731,89.75303765278315,1.0065642772099266,90.36353822144721,1.6618196925633568,0.0005
5,0.9965607964452688,89.79555528907791,1.0055861535981625,90.31869926500181,1.9941836310760284,0.0005
6,0.9945956396769329,89.65443767172002,1.0034560539141006,90.17772626064603,1.8903199002908182,0.00025
7,0.9960712880379043,89.77111799923968,1.0062067534946335,90.34938318738315,1.7864561695056087,0.00025
8,0.9947998519750071,89.6802197889416,1.0029426969132782,90.10254372825354,1.9110926464478606,0.00025
9,0.9934605482855822,89.5644332321541,1.0052132575800174,90.31259929940668,1.8280016618196928,0.00025
10,0.9942222839576553,89.62218634776174,1.0026815968724667,90.13688532247254,1.8280016618196928,0.00025
11,0.9918572437134233,89.47209904745598,1.0015680375909428,90.06812793841043,1.599501454092231,0.00025
12,0.9931662873108456,89.53600919538877,1.005189161108498,90.34485182783938,1.2255920232654756,0.00025
13,0.9920168295409801,89.46839412218513,1.003951941628054,90.24459373559702,1.4333194848358952,0.00025
14,0.9891566686675813,89.30417852714739,1.0106237832322178,90.75951666647734,1.4125467386788533,0.00025
15,0.9955274522378824,89.72559956707893,1.0034592203148975,90.19052191220432,1.9318653926049023,0.00025
16,0.9938598904413557,89.59082064214563,0.9985300666026966,89.81634635592478,2.0357291233901122,0.00025
17,0.9934607775913614,89.56576328887749,0.9955600471381681,89.70284155547297,1.6618196925633568,0.00025
18,0.9915740142286591,89.38763157678532,1.0024500605868858,90.16415682936487,1.6825924387203988,0.00025
19,0.9962107226419706,89.72038671590998,0.9958474818333878,89.69592868375442,1.8695471541337765,0.00025
20,0.9957135885050052,89.67078273188389,0.9959246210899401,89.68567812467542,1.7864561695056087,0.00025
21,0.9942704262850341,89.5702657156779,0.9953244342613775,89.70751075760477,1.4956377233070213,0.00025
22,0.9959472884862414,89.67928493295312,0.9957428386610575,89.71884706795933,1.3294557540506855,0.00025
23,0.9917493959061575,89.42683332670661,0.9975278890623213,89.89461183567784,1.5371832156211052,0.00025
24,0.990077372552153,89.28561368402625,0.9989462478754181,89.95216499585356,1.474864977149979,0.00025
25,0.9939025229916416,89.54858082738416,0.9999716806372122,90.00468370653952,1.6618196925633568,0.00025
26,0.996066295511256,89.74064051109475,1.0046915059571053,90.34641799958455,1.516410469464063,0.000125
27,0.9928480481824095,89.49333440053992,1.001234096563551,90.1035055074149,1.5371832156211052,0.000125
28,0.9934903883220846,89.52262073955845,1.0008307544829491,90.05292316051653,1.6410469464063149,0.000125
29,0.9903676002710055,89.30488375325791,1.0020371768848007,90.13638606148733,1.6825924387203988,0.000125
30,0.9904525655901774,89.32875900997578,1.0000176194004364,89.99301506267527,1.8695471541337765,0.000125
31,0.9884172362017344,89.2053782419887,0.9977955221882191,89.83902151236953,1.7241379310344827,6.25e-05
32,0.9811389240725287,88.69339999748455,0.9991881072793604,89.86608813182417,1.8487744079767345,6.25e-05
33,0.9794889138752264,88.5814052275914,0.9951638295831747,89.64796202421485,1.6410469464063149,6.25e-05
34,0.9744038511025841,88.22063510389214,0.9924311501681681,89.46014642656023,1.7656834233485668,6.25e-05
35,0.9738339699300236,88.2068373042615,0.9964201291369164,89.71520559947224,1.7241379310344827,6.25e-05
36,0.9721438594016981,88.12789149932163,0.9953416209523986,89.668018019343,1.8903199002908182,6.25e-05
37,0.9669062813436733,87.7452561458117,0.9866225790769468,89.08515443948477,1.8280016618196928,6.25e-05
38,0.9634887246507107,87.52215242722642,0.9964824601432125,89.76785842521487,1.7656834233485668,6.25e-05
39,0.9599259032913893,87.28706714232334,0.9952993857003763,89.7492824375357,1.8903199002908182,6.25e-05
40,0.9561624300148064,87.07401652508472,0.9949768660323076,89.70870980554763,1.9526381387619443,6.25e-05
