voxel_id,original_file,v_x,v_y,v_z
airplane_0637_aug0,airplane_0637.off,0.14901283059343742,0.7215064839637397,-0.6761830890497139
airplane_0637_aug1,airplane_0637.off,-0.9113492126785134,0.20499482588546636,0.3569590087257095
airplane_0629_aug0,airplane_0629.off,0.29925634009681285,-0.07353343159472078,0.9513351025531253
airplane_0629_aug1,airplane_0629.off,0.10800725063107766,0.5398013688778711,-0.8348346638518863
airplane_0627_aug0,airplane_0627.off,0.21992081848765582,-0.8530279963200771,0.47326321544133776
airplane_0627_aug1,airplane_0627.off,-0.17924741464604962,-0.13555655391534285,-0.9744202302052765
airplane_0631_aug0,airplane_0631.off,-0.2783399139861186,0.37579515861043966,-0.8839145270031229
airplane_0631_aug1,airplane_0631.off,0.06824936031060025,-0.9966828253910992,0.044332498098004214
airplane_0632_aug0,airplane_0632.off,0.6368139089489725,-0.46879901364909066,-0.6121237866402266
airplane_0632_aug1,airplane_0632.off,0.21809907474894497,-0.14112448041813017,0.9656690295439566
airplane_0638_aug0,airplane_0638.off,-0.5855184846533603,0.8105130139118616,0.015386955798437362
airplane_0638_aug1,airplane_0638.off,-0.11402910219502117,-0.27263910037029704,-0.9553351688291771
airplane_0645_aug0,airplane_0645.off,-0.10073891113604246,-0.9676025015176678,0.23151041194701452
airplane_0645_aug1,airplane_0645.off,-0.4686855140518926,-0.7715118614091301,0.4302363729659923
airplane_0635_aug0,airplane_0635.off,0.21072172151236582,-0.9264248739612104,-0.31198286649881957
airplane_0635_aug1,airplane_0635.off,-0.977620446969823,0.11917805057014866,0.17336335809167633
airplane_0630_aug0,airplane_0630.off,-0.47943052671822134,0.4159696478617887,0.7727325682980034
airplane_0630_aug1,airplane_0630.off,-0.8406556982005087,0.4786873075222994,0.25329125271131475
airplane_0644_aug0,airplane_0644.off,-0.2181964390417826,0.9689431142547325,0.11635959491088954
airplane_0644_aug1,airplane_0644.off,-0.42398013552335445,-0.5408485961558324,0.726445896621258
airplane_0639_aug0,airplane_0639.off,-0.650668406773819,-0.5329946366963578,-0.5408764569468131
airplane_0639_aug1,airplane_0639.off,0.1446877146345323,-0.7279741707259826,0.6701634666181486
airplane_0634_aug0,airplane_0634.off,-0.4182926957782707,0.14975990000659778,-0.8958812382277915
airplane_0634_aug1,airplane_0634.off,-0.9352465404200128,-0.2961758818506358,0.19389109222033787
airplane_0636_aug0,airplane_0636.off,-0.7019590208530024,0.2229921853397348,0.6764081743448284
airplane_0636_aug1,airplane_0636.off,-0.1501093348497786,-0.9883699442315046,-0.024331891228793034
airplane_0633_aug0,airplane_0633.off,0.22498941088982807,-0.7956910336709109,-0.5623660230874244
airplane_0633_aug1,airplane_0633.off,0.026178247057909314,0.7203958628302114,0.6930689000367067
airplane_0651_aug0,airplane_0651.off,-0.8450513072114514,0.0995750250935153,0.5253314216357547
airplane_0651_aug1,airplane_0651.off,0.1961687421105771,0.9282283201549607,0.3160854477527458
airplane_0642_aug0,airplane_0642.off,-0.8088468502260987,-0.5650382095143301,-0.16278388946133224
airplane_0642_aug1,airplane_0642.off,-0.1950781569871022,-0.9777617570042704,0.07698349957255683
airplane_0640_aug0,airplane_0640.off,0.5979772286239096,0.5650592954732131,0.5684463269707923
airplane_0640_aug1,airplane_0640.off,-0.6205941391131873,-0.522704575050737,-0.5845022170354793
airplane_0658_aug0,airplane_0658.off,-0.16271872287133182,0.3976975825578337,-0.9029724525448037
airplane_0658_aug1,airplane_0658.off,-0.2875079364511703,0.291989296534595,0.9121849796980995
airplane_0655_aug0,airplane_0655.off,0.8039569920014505,0.39707469606296797,0.44270175147437724
airplane_0655_aug1,airplane_0655.off,0.2914709577410909,0.2788485182640788,0.9150345264827
