epoch,train_loss,val_mae_deg,lr
1,0.05743705163696944,49.37060603266177,0.0001
2,0.05134746140175243,50.091176273511806,0.0001
3,0.05080023199068053,49.339310787035075,0.0001
4,0.05024066534230969,49.38949084074601,0.0001
5,0.049867906277218176,49.31035567573879,0.0001
6,0.04952674006868709,49.40990620488706,0.0001
7,0.049226060915972966,49.022378639552905,0.0001
8,0.04876854023488436,48.978831647789995,0.0001
9,0.04803945096681744,49.03048779031505,0.0001
10,0.04753324079875206,49.112604489533794,0.0001
11,0.046788056740128134,49.35206560881242,0.0001
12,0.04619598409558679,49.072236765985906,0.0001
13,0.04547069650057549,49.08272326925527,0.0001
14,0.044710703923748936,49.34313274881114,5e-05
15,0.04339508279105119,49.292359725288726,5e-05
16,0.04282871125617884,49.60609280130137,5e-05
17,0.04246475832242112,49.40878126724907,5e-05
18,0.041767007006066184,49.456471086585005,5e-05
19,0.04110788734781394,49.407047371242356,5e-05
20,0.04087977528789534,49.46839456972869,2.5e-05
21,0.03980344292720617,49.40481948852539,2.5e-05
22,0.039437662978898363,49.386380270253056,2.5e-05
23,0.039236568961687354,49.59309735505477,2.5e-05
24,0.03898335140078298,49.54178370600162,2.5e-05
25,0.03865015337647106,49.652808645497196,2.5e-05
26,0.03826910499969752,49.637722977348,1.25e-05
27,0.037927197303891914,49.67783521569294,1.25e-05
28,0.03766170439929823,49.625176404870075,1.25e-05
29,0.037527213957498334,49.69698685355809,1.25e-05
30,0.03736639621105337,49.75924835205078,1.25e-05
31,0.037188145362081065,49.78585142052692,1.25e-05
32,0.03693903211258157,49.89244099492612,6.25e-06
33,0.0368217394591385,49.74614466791568,6.25e-06
34,0.036601379110310486,49.85688012164572,6.25e-06
35,0.03648053800627109,49.8904669056768,6.25e-06
36,0.036286669847671336,49.85358621348505,6.25e-06
37,0.03642321696158744,49.776656905464506,6.25e-06
38,0.0363826298751452,49.829758154827616,3.125e-06
39,0.03612952891697166,49.84587246438731,3.125e-06
40,0.03621883788210456,49.96184443598208,3.125e-06
41,0.03606016062966873,49.92723561162534,3.125e-06
42,0.035988076482706355,49.90969274769659,3.125e-06
43,0.03602354722626839,49.93414817478346,3.125e-06
44,0.03572998928927606,49.87777972014054,1.5625e-06
45,0.035788250543440356,49.851971667745836,1.5625e-06
46,0.03570915208685966,49.86237079786218,1.5625e-06
47,0.03571094151946806,50.12604413239852,1.5625e-06
48,0.03585175295058529,49.914671524711274,1.5625e-06
49,0.03574590251341851,49.982905943497364,1.5625e-06
50,0.03586089479437988,49.87359698751698,7.8125e-07
51,0.03588950966617891,49.96299455062203,7.8125e-07
52,0.03566753453133018,49.98772858329441,7.8125e-07
53,0.03568720867064783,49.98017030798871,7.8125e-07
54,0.035630803206183025,49.96452829112177,7.8125e-07
55,0.035877045480028,49.912899415389354,7.8125e-07
56,0.03561882488143426,49.90329234911048,3.90625e-07
57,0.035577176865505,49.88803180197011,3.90625e-07
58,0.03583318879613267,49.962392757249916,3.90625e-07
59,0.035803706606938726,49.907776111105214,3.90625e-07
60,0.035639715508290336,49.88870099938434,3.90625e-07
61,0.035678483193851834,49.97223835820737,3.90625e-07
62,0.0356389941553229,49.954141832434615,1.953125e-07
63,0.035670687671973955,49.89484541519828,1.953125e-07
64,0.0357063924507474,49.95656648718793,1.953125e-07
65,0.03568217860457534,49.9067754994268,1.953125e-07
66,0.03554987377514304,49.975650289784305,1.953125e-07
67,0.0356460199555448,50.02186501544455,1.953125e-07
68,0.03562036939766458,49.86479661361031,9.765625e-08
69,0.03559515881602482,49.88689588463825,9.765625e-08
70,0.035718377925650135,49.96478609831437,9.765625e-08
71,0.03573305097719034,49.8787833172342,9.765625e-08
72,0.03565079903948234,49.96674074919328,9.765625e-08
73,0.03539319794207308,49.97643824038298,9.765625e-08
74,0.03547941845270895,49.8992489690366,4.8828125e-08
75,0.03556801717493757,49.97291667772376,4.8828125e-08
76,0.03546895764298886,49.915967460300614,4.8828125e-08
77,0.03554311361501477,49.91288352634596,4.8828125e-08
78,0.03567577519678666,49.95841130795686,4.8828125e-08
79,0.03578306654734271,49.95940561709197,4.8828125e-08
80,0.03562010716526739,49.9695473048998,2.44140625e-08
81,0.03546056117627844,49.96898206627887,2.44140625e-08
82,0.03564345354526182,49.86222573985224,2.44140625e-08
83,0.03556873244498091,49.98098462975543,2.44140625e-08
84,0.03578656098695211,50.00089814559273,2.44140625e-08
85,0.03567794937577482,49.910830688476565,2.44140625e-08
86,0.03555243727557945,49.939582857878314,1.220703125e-08
87,0.03553736267093506,50.0050782908564,1.220703125e-08
88,0.035485539224839976,49.98089592975119,1.220703125e-08
89,0.03578622479810052,49.913472814145294,1.220703125e-08
90,0.035641943646763694,50.006425144361415,1.220703125e-08
91,0.03553055904479483,50.00109528251316,1.220703125e-08
92,0.03565800729881508,49.931671905517575,1.220703125e-08
93,0.03534392066895046,49.925824969747794,1.220703125e-08
94,0.035802423338850704,49.981583537226136,1.220703125e-08
95,0.035702703683744376,49.90384863148565,1.220703125e-08
96,0.03567663692338492,49.90538558959961,1.220703125e-08
97,0.035627809271628404,49.920485023830246,1.220703125e-08
98,0.035464947034652056,49.98546985128652,1.220703125e-08
99,0.03565952653342861,50.012754954462466,1.220703125e-08
100,0.03573122512715112,49.92004739512568,1.220703125e-08
