epoch,loss,time_sec
1,0.1006403131024811,5769.5562489032745
2,0.06637394093682686,5766.076455593109
3,0.059267622986254855,5766.280814170837
4,0.054826098729647665,5766.762410163879
5,0.05199647238836967,5766.741441488266
6,0.05013084743393355,5766.548975944519
7,0.04845691258166834,5760.881431102753
8,0.04709128085049362,5803.730643749237
9,0.0458105074486298,5707.67107796669
10,0.044797731843271495,5814.321481704712
11,0.04384235320533708,5753.963743448257
12,0.04291749265529143,5738.1108314991
13,0.04206275686154484,5713.121373414993
14,0.04139251594695097,5711.219857931137
15,0.040658213423259655,5705.024240732193
16,0.039914289722979494,5713.173673152924
17,0.03934712159787417,5711.7719304561615
18,0.03873580043428595,5712.98627948761
19,0.03831665986415259,5713.142313480377
20,0.037729230127221305,42079.005165338516
21,0.03717176896987749,31206.962066411972
22,0.036738442467521955,28573.761610269547
23,0.03626749826720499,31231.970281362534
24,0.03575871807202492,31242.821071624756
25,0.03533642864126072,37733.14027571678
26,0.03502802458572902,21225.57036590576
27,0.034516157112786924,21330.212163686752
28,0.03428735903383352,23098.917870521545
29,0.03390092969519846,25733.497734069824
30,0.0334796299081196,22818.858918905258
